TOP.5910144c.0009979c	START
TOP.59102234.000b72b5	user_options->remove	0
TOP.59102234.000b72b5	user_options->remove_timer	60
TOP.59102234.000b72b5	user_options->restore	0
TOP.59102234.000b72b5	user_options->restore_disable	1
TOP.59102234.000b72b5	user_options->restore_timer	60
TOP.59102234.000b72b5	user_options->rp_files_cnt	0
TOP.59102234.000b72b5	user_options->rp_gen	0
TOP.59102234.000b72b5	user_options->rp_gen_func_max	4
TOP.59102234.000b72b5	user_options->rp_gen_func_min	1
TOP.59102234.000b72b5	user_options->rp_gen_seed	0
TOP.59102234.000b72b5	user_options->runtime	0
TOP.59102234.000b72b5	user_options->scrypt_tmto	0
TOP.59102234.000b72b5	user_options->segment_size	33554432
TOP.59102234.000b72b5	user_options->show	1
TOP.59102234.000b72b5	user_options->status	0
TOP.59102234.000b72b5	user_options->status_timer	10
TOP.59102234.000b72b5	user_options->stdout_flag	0
TOP.59102234.000b72b5	user_options->speed_only	0
TOP.59102234.000b72b5	user_options->progress_only	0
TOP.59102234.000b72b5	user_options->usage	0
TOP.59102234.000b72b5	user_options->username	0
TOP.59102234.000b72b5	user_options->veracrypt_pim	0
TOP.59102234.000b72b5	user_options->version	0
TOP.59102234.000b72b5	user_options->weak_hash_threshold	0
TOP.59102234.000b72b5	user_options->workload_profile	2
TOP.59102234.000b72b5	proc_start	1494229556
TOP.59102234.000b72b5	proc_stop	1494229556
TOP.59102234.000b72b5	STOP
TOP.5910223d.0008c036	START
TOP.5910223d.0008c036	user_options->separator	:
TOP.5910223d.0008c036	user_options->rule_buf_l	:
TOP.5910223d.0008c036	user_options->rule_buf_r	:
TOP.5910223d.0008c036	user_options->session	show
TOP.5910223d.0008c036	user_options->limit	0
TOP.5910223d.0008c036	user_options->skip	0
TOP.5910223d.0008c036	user_options->attack_mode	100
TOP.5910223d.0008c036	user_options->benchmark	0
TOP.5910223d.0008c036	user_options->bitmap_max	24
TOP.5910223d.0008c036	user_options->bitmap_min	16
TOP.5910223d.0008c036	user_options->debug_mode	0
TOP.5910223d.0008c036	user_options->force	0
TOP.5910223d.0008c036	user_options->gpu_temp_abort	90
TOP.5910223d.0008c036	user_options->gpu_temp_disable	0
TOP.5910223d.0008c036	user_options->gpu_temp_retain	75
TOP.5910223d.0008c036	user_options->hash_mode	0
TOP.5910223d.0008c036	user_options->hex_charset	0
TOP.5910223d.0008c036	user_options->hex_salt	0
TOP.5910223d.0008c036	user_options->hex_wordlist	0
TOP.5910223d.0008c036	user_options->increment	0
TOP.5910223d.0008c036	user_options->increment_max	54
TOP.5910223d.0008c036	user_options->increment_min	1
